id,sem,lem,cer,cg,flex,pron,orto,etim,varia,def,sinta,ex,comp,not
346,346,DOUCHE,,,,,,,,,,,,
347,347,DOUZAINE,,,,,,,,,,,,
348,348,DOCTEUR,,,,,,,,,,,,
349,349,DOUZE,,,,,,,,,,,,
350,350,DOUX,,,,,,,,,,,,
351,351,MAL ,,,,,,,,,,,,
352,352,DOULEUR,,,,,,,,,,,,
353,353,DIMANCHE,,,,,,,,,,,,
354,354,CADEAU,,,,,,,,,,,,
355,355,CONSÉQUENT,,,,,,,,,,,,
356,356,DEUX,,,,,,,,,,,,
357,357,DEUX CENTS,,,,,,,,,,,,
358,358,DOUBLE,,,,,,,,,,,,
359,359,DORMIR,,,,,,,,,,,,
360,360,CHAMBRE À COUCHER,,,,,,,,,,,,
361,361,DOS,,,,,,,,,,,,
362,362,DOUTE,,,,,,,,,,,,
363,363,PENDANT,,,,,,,,,,,,
364,364,DURER,,,,,,,,,,,,
365,365,DUR,,,,,,,,,,,,
366,366,ÉGLISE,,,,,,,,,,,,
367,367,EFFET,,,,,,,,,,,,
368,368,ÉLECTRIQUE,,,,,,,,,,,,
369,369,ÉLÉPHANT,,,,,,,,,,,,
370,370,CHOISIR,,,,,,,,,,,,
371,371,HÉLÈNE,,,,,,,,,,,,
372,372,ELLE,,,,,,,,,,,,
373,373,ELLES,,,,,,,,,,,,
374,374,CELA,,,,,,,,,,,,
375,375,LUI ,,,,,,,,,,,,
376,376,EUX ,,,,,,,,,,,,
377,377,POUSSER,,,,,,,,,,,,
378,378,REMPLIR,,,,,,,,,,,,
379,379,EMPORTER,,,,,,,,,,,,
380,380,EN,,,,,,,,,,,,
381,381,TOUT ,,,,,,,,,,,,
382,382,TOUCHER,,,,,,,,,,,,
383,383,TROUVER,,,,,,,,,,,,
384,384,RENDEZ-VOUS,,,,,,,,,,,,
385,385,PETITE FILLE,,,,,,,,,,,,
386,386,ENFANT,,,,,,,,,,,,
387,387,ENFANTS,,,,,,,,,,,,
388,388,REMERCIER,,,,,,,,,,,,
389,389,APPRENDRE,,,,,,,,,,,,
390,390,ENTIER,,,,,,,,,,,,
391,391,COMPRENDRE ,,,,,,,,,,,,
392,392,ENTRER,,,,,,,,,,,,
393,393,ENTRÉE,,,,,,,,,,,,
394,394,ENTRE,,,,,,,,,,,,
395,395,SANDWICH,,,,,,,,,,,,
396,396,DANS,,,,,,,,,,,,
397,397,MOI ,,,,,,,,,,,,
398,398,ÉGAL,,,,,,,,,,,,
399,399,TROMPER ,,,,,,,,,,,,
400,400,GRIFFER,,,,,,,,,,,,
401,401,ESCALIER,,,,,,,,,,,,
402,402,ÉCHELLE,,,,,,,,,,,,
403,403,ÉCOLE,,,,,,,,,,,,
404,404,BALAI,,,,,,,,,,,,
405,405,ÉCORCE,,,,,,,,,,,,
406,406,ÉCRIRE,,,,,,,,,,,,
407,407,MIROIR,,,,,,,,,,,,
408,408,ATTENDRE ,,,,,,,,,,,,
409,409,ÉPAIS,,,,,,,,,,,,
410,410,ESPRIT,,,,,,,,,,,,
411,411,ÉPONGE,,,,,,,,,,,,
412,412,SALE,,,,,,,,,,,,
413,413,SPORT,,,,,,,,,,,,
414,414,FEMME,,,,,,,,,,,,
415,415,MARI,,,,,,,,,,,,
416,416,CRACHER,,,,,,,,,,,,
417,417,ÊTRE,,,,,,,,,,,,
418,418,FALLOIR,,,,,,,,,,,,
419,419,DEBOUT,,,,,,,,,,,,
420,420,ÊTRE,,,,,,,,,,,,
421,421,TROUVER ,,,,,,,,,,,,
422,422,ÉTÉ,,,,,,,,,,,,
423,423,ÉTAT,,,,,,,,,,,,
424,424,SAISON,,,,,,,,,,,,
425,425,EST,,,,,,,,,,,,
426,426,ÉTOILE,,,,,,,,,,,,
427,427,SOT,,,,,,,,,,,,
428,428,ESTOMAC,,,,,,,,,,,,
429,429,ÉTRANGER,,,,,,,,,,,,
430,430,ÉTROIT,,,,,,,,,,,,
431,431,PRESSER,,,,,,,,,,,,
432,432,BRUIT,,,,,,,,,,,,
433,433,EXTRAORDINAIRE,,,,,,,,,,,,
434,434,ÉVEILLER ,,,,,,,,,,,,
435,435,ET,,,,,,,,,,,,
436,436,ÂGE,,,,,,,,,,,,
437,437,CREUSER POUR TROUVER,,,,,,,,,,,,
438,438,EXCELLENT,,,,,,,,,,,,
439,439,EXCURSION,,,,,,,,,,,,
440,440,EXEMPLE,,,,,,,,,,,,
441,441,SORTIR,,,,,,,,,,,,
442,442,SORTIE,,,,,,,,,,,,
443,443,EXPLIQUER,,,,,,,,,,,,
444,444,PRESSER,,,,,,,,,,,,
445,445,EXISTER,,,,,,,,,,,,
446,446,ESSUYER,,,,,,,,,,,,
447,447,ÉTEINDRE,,,,,,,,,,,,
448,448,TIRER,,,,,,,,,,,,
449,449,SERVIETTE,,,,,,,,,,,,
450,450,USINE,,,,,,,,,,,,
451,451,FACE,,,,,,,,,,,,
452,452,FAIRE,,,,,,,,,,,,
453,453,FAIRE JOUR,,,,,,,,,,,,
454,454,TOMBER LA NUIT,,,,,,,,,,,,
455,455,FACILE,,,,,,,,,,,,
456,456,FAIT,,,,,,,,,,,,
